22:07:25.093 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-561] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:07:32.148 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-561] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:07:32.149 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-561] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@219a88: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:07:32.151 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-562] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:07:39.231 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-562] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:07:39.231 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-562] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1e0519b: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:07:39.231 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-563] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:07:46.282 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-563] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:07:46.282 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-563] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@5dc2b7: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:07:46.283 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-564] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:07:53.321 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-564] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:07:53.321 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-564] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@6ae33e: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:07:53.321 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-565] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:08:00.379 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-565] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:08:00.379 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-565] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1d34347: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:08:00.379 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-566] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:08:07.420 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-566] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:08:07.420 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-566] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@7e2301: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:08:07.420 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-567] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:08:14.477 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-567] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:08:14.477 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-567] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@b14b12: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:08:14.478 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-568] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:08:21.515 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-568] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:08:21.515 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-568] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1222b33: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:08:21.515 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-569] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:08:28.579 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-569] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:08:28.579 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-569] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1a08205: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:08:28.579 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-570] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:08:35.619 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-570] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:08:35.619 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-570] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@17ff820: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:08:35.619 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-571] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:08:42.659 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-571] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:08:42.659 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-571] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1f82205: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:08:42.659 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-572] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:08:49.715 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-572] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:08:49.715 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-572] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@abc5c6: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:08:49.716 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-573] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:08:56.767 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-573] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:08:56.767 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-573] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@d68ccf: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:08:56.767 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-574] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:09:03.805 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-574] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:09:03.805 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-574] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@11052d7: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:09:03.805 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-575] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:09:10.848 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-575] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:09:10.849 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-575] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@4a4e83: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:09:10.850 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-576] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:09:17.903 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-576] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:09:17.903 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-576] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@11936e9: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:09:17.903 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-577] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:09:24.956 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-577] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:09:24.956 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-577] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1c8a8a: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:09:24.957 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-578] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:09:32.044 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-578] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
