17:36:47.401 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2788] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:36:54.465 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2788] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:36:54.465 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2788] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1851a43: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:36:54.465 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2789] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:37:01.611 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2789] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:37:01.611 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2789] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@b78994: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:37:01.611 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2790] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:37:08.682 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2790] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:37:08.682 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2790] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@a84a45: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:37:08.682 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2791] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:37:15.801 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2791] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:37:15.801 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2791] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@5dce76: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:37:15.802 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2792] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:37:22.841 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2792] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:37:22.841 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2792] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@19a2c6: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:37:22.841 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2793] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:37:29.874 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2793] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:37:29.874 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2793] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@8cccfd: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:37:29.874 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2794] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:37:36.920 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2794] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:37:36.920 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2794] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@3bcb54: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:37:36.920 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2795] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:37:43.961 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2795] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:37:43.961 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2795] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@154dc8b: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:37:43.961 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2796] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:37:51.086 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2796] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:37:51.086 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2796] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@145355f: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:37:51.087 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2797] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:37:58.125 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2797] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:37:58.125 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2797] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@78c508: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:37:58.126 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2798] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:38:05.166 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2798] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:38:05.166 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2798] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1f735c7: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:38:05.166 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2799] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:38:12.241 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2799] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:38:12.241 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2799] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1bba352: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:38:12.241 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2800] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:38:19.292 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2800] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:38:19.292 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2800] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@11caf73: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:38:19.293 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2801] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:38:26.337 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2801] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:38:26.337 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2801] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@4cec39: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:38:26.337 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2802] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:38:33.384 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2802] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:38:33.384 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2802] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1869866: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:38:33.384 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2803] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:38:40.433 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2803] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:38:40.433 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2803] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@732005: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:38:40.433 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2804] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:38:47.488 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2804] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:38:47.488 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2804] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@144e218: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
